model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBMLarge_BAG_L1_FULL,-0.02311096079048582,,root_mean_squared_error,0.007394075393676758,,4.292699813842773,0.007394075393676758,,4.292699813842773,1,True,116
CatBoost_r86_BAG_L1_FULL,-0.030549920752032906,,root_mean_squared_error,0.0068128108978271484,,26.86853313446045,0.0068128108978271484,,26.86853313446045,1,True,155
XGBoost_r34_BAG_L1_FULL,-0.04472556961402861,,root_mean_squared_error,0.0060689449310302734,,1.596015214920044,0.0060689449310302734,,1.596015214920044,1,True,210
XGBoost_r33_BAG_L1_FULL,-0.045423466838243824,,root_mean_squared_error,0.008543968200683594,,2.9883782863616943,0.008543968200683594,,2.9883782863616943,1,True,124
CatBoost_r167_BAG_L1_FULL,-0.06168883912158738,,root_mean_squared_error,0.0036821365356445312,,8.902670621871948,0.0036821365356445312,,8.902670621871948,1,True,149
CatBoost_r143_BAG_L1_FULL,-0.06434008881847143,,root_mean_squared_error,0.00269317626953125,,6.763313055038452,0.00269317626953125,,6.763313055038452,1,True,177
XGBoost_r98_BAG_L1_FULL,-0.08406915321420859,,root_mean_squared_error,0.017354965209960938,,6.067983150482178,0.017354965209960938,,6.067983150482178,1,True,152
CatBoost_r13_BAG_L1_FULL,-0.3870209161795176,,root_mean_squared_error,0.008588075637817383,,33.47427582740784,0.008588075637817383,,33.47427582740784,1,True,128
CatBoost_r12_BAG_L1_FULL,-0.7023890875585601,,root_mean_squared_error,0.003777027130126953,,9.593550205230713,0.003777027130126953,,9.593550205230713,1,True,199
XGBoost_r49_BAG_L1_FULL,-0.7188054724150714,,root_mean_squared_error,0.003858804702758789,,0.5471999645233154,0.003858804702758789,,0.5471999645233154,1,True,173
XGBoost_r194_BAG_L1_FULL,-0.7211298893807092,,root_mean_squared_error,0.0034029483795166016,,0.2709391117095947,0.0034029483795166016,,0.2709391117095947,1,True,138
XGBoost_r89_BAG_L1_FULL,-1.061737008484669,,root_mean_squared_error,0.0030298233032226562,,0.25545191764831543,0.0030298233032226562,,0.25545191764831543,1,True,132
CatBoost_r60_BAG_L1_FULL,-1.104323094519345,,root_mean_squared_error,0.002162933349609375,,2.301953077316284,0.002162933349609375,,2.301953077316284,1,True,183
CatBoost_r128_BAG_L1_FULL,-1.1976518518208157,,root_mean_squared_error,0.00417780876159668,,6.195755958557129,0.00417780876159668,,6.195755958557129,1,True,166
XGBoost_r22_BAG_L1_FULL,-1.2069654975226793,,root_mean_squared_error,0.0029468536376953125,,0.23726820945739746,0.0029468536376953125,,0.23726820945739746,1,True,186
LightGBM_r196_BAG_L1_FULL,-1.3249310100047906,,root_mean_squared_error,0.06660103797912598,,26.413866996765137,0.06660103797912598,,26.413866996765137,1,True,147
XGBoost_r95_BAG_L1_FULL,-1.3400875789081537,,root_mean_squared_error,0.0030679702758789062,,0.312122106552124,0.0030679702758789062,,0.312122106552124,1,True,209
CatBoost_r198_BAG_L1_FULL,-1.3503443969243358,,root_mean_squared_error,0.0017750263214111328,,3.165503978729248,0.0017750263214111328,,3.165503978729248,1,True,206
CatBoost_r9_BAG_L1_FULL,-1.3932146697606616,,root_mean_squared_error,0.0042150020599365234,,8.053063869476318,0.0042150020599365234,,8.053063869476318,1,True,121
CatBoost_BAG_L1_FULL,-1.4326387415208,,root_mean_squared_error,0.0025086402893066406,,2.3924808502197266,0.0025086402893066406,,2.3924808502197266,1,True,111
LightGBM_r188_BAG_L1_FULL,-1.4507491321388661,,root_mean_squared_error,0.008167266845703125,,3.374666929244995,0.008167266845703125,,3.374666929244995,1,True,130
LightGBM_r15_BAG_L1_FULL,-1.5774962316233307,,root_mean_squared_error,0.0037488937377929688,,1.327749252319336,0.0037488937377929688,,1.327749252319336,1,True,153
CatBoost_r70_BAG_L1_FULL,-1.6514344635540825,,root_mean_squared_error,0.003324747085571289,,2.784672975540161,0.003324747085571289,,2.784672975540161,1,True,145
CatBoost_r177_BAG_L1_FULL,-1.6601396623268603,,root_mean_squared_error,0.002134084701538086,,1.2983229160308838,0.002134084701538086,,1.2983229160308838,1,True,117
XGBoost_BAG_L1_FULL,-1.8060191556138323,,root_mean_squared_error,0.002340078353881836,,0.13737702369689941,0.002340078353881836,,0.13737702369689941,1,True,114
LightGBM_r42_BAG_L1_FULL,-1.8757693034654792,,root_mean_squared_error,0.00595402717590332,,2.165738105773926,0.00595402717590332,,2.165738105773926,1,True,211
LightGBM_r131_BAG_L1_FULL,-1.9143549126588442,,root_mean_squared_error,0.007844924926757812,,2.6676480770111084,0.007844924926757812,,2.6676480770111084,1,True,119
CatBoost_r69_BAG_L1_FULL,-2.134309486086917,,root_mean_squared_error,0.0014410018920898438,,0.9965193271636963,0.0014410018920898438,,0.9965193271636963,1,True,140
CatBoost_r180_BAG_L1_FULL,-2.270740393138066,,root_mean_squared_error,0.002881765365600586,,3.1775810718536377,0.002881765365600586,,3.1775810718536377,1,True,192
CatBoost_r137_BAG_L1_FULL,-2.336734948089176,,root_mean_squared_error,0.0022008419036865234,,1.473865270614624,0.0022008419036865234,,1.473865270614624,1,True,126
CatBoost_r49_BAG_L1_FULL,-2.5960804817415486,,root_mean_squared_error,0.0022211074829101562,,0.8531200885772705,0.0022211074829101562,,0.8531200885772705,1,True,158
CatBoost_r5_BAG_L1_FULL,-2.731941206588446,,root_mean_squared_error,0.002044200897216797,,0.8644580841064453,0.002044200897216797,,0.8644580841064453,1,True,174
LightGBM_r161_BAG_L1_FULL,-3.0003967051858274,,root_mean_squared_error,0.005398750305175781,,2.017498731613159,0.005398750305175781,,2.017498731613159,1,True,143
CatBoost_r50_BAG_L1_FULL,-3.011158165043599,,root_mean_squared_error,0.0020568370819091797,,0.6346640586853027,0.0020568370819091797,,0.6346640586853027,1,True,136
CatBoost_r163_BAG_L1_FULL,-3.0251138120137426,,root_mean_squared_error,0.0018360614776611328,,0.4250311851501465,0.0018360614776611328,,0.4250311851501465,1,True,205
LightGBM_r121_BAG_L1_FULL,-3.404180363251277,,root_mean_squared_error,0.004719972610473633,,1.6987659931182861,0.004719972610473633,,1.6987659931182861,1,True,190
CatBoost_r6_BAG_L1_FULL,-3.9869756412698267,,root_mean_squared_error,0.0018100738525390625,,0.34450721740722656,0.0018100738525390625,,0.34450721740722656,1,True,188
XGBoost_r31_BAG_L1_FULL,-3.9919193217796236,,root_mean_squared_error,0.007135868072509766,,1.0107660293579102,0.007135868072509766,,1.0107660293579102,1,True,180
RandomForest_r195_BAG_L1_FULL,-4.447803321208584,,root_mean_squared_error,0.03194880485534668,,0.4391748905181885,0.03194880485534668,,0.4391748905181885,1,True,129
RandomForestMSE_BAG_L1_FULL,-4.458355587853049,,root_mean_squared_error,0.020574092864990234,,0.4317660331726074,0.020574092864990234,,0.4317660331726074,1,True,110
RandomForest_r16_BAG_L1_FULL,-4.458355587853049,,root_mean_squared_error,0.02151179313659668,,0.39337587356567383,0.02151179313659668,,0.39337587356567383,1,True,197
LightGBM_BAG_L1_FULL,-4.510876315575887,,root_mean_squared_error,0.001363992691040039,,0.34110426902770996,0.001363992691040039,,0.34110426902770996,1,True,109
