variant,model,R2,MSE,RMSE,MAE,RUL_Score_PHM08,tau15_TP,tau15_FP,tau15_FN,tau15_TN,tau15_precision,tau15_recall
B,STACK_Ridge_on_LightGBM+CatBoost+GBR,0.6708151409659423,213.4476795873306,14.60984871883794,8.753910238492487,3231090.15815805,70,50,109,40985,0.5833333333333334,0.39106145251396646
A,STACK_Ridge_on_LightGBM+CatBoost+GBR,0.6656696662888693,216.7840712835325,14.723588940320647,9.02482100492688,3129471.326549031,81,62,98,40973,0.5664335664335665,0.45251396648044695
BASE,STACK_Ridge_on_LightGBM+CatBoost+GBR,0.6646388604890006,217.45245896920167,14.746269323771408,9.030377807782054,3132132.7399558886,81,58,98,40977,0.5827338129496403,0.45251396648044695
