variant,model,R2,MSE,RMSE,MAE,RUL_Score_PHM08,tau15_TP,tau15_FP,tau15_FN,tau15_TN,tau15_precision,tau15_recall
A,STACK_Ridge_on_LightGBM+CatBoost+GBR,0.6656696662888693,216.7840712835325,14.723588940320647,9.02482100492688,3129471.326549031,81,62,98,40973,0.5664335664335665,0.45251396648044695
A,ENS_mean_LGBM_Cat_GBR,0.6649428025214748,217.25537906172656,14.739585444025437,9.031725217131736,3254365.1535500577,83,63,96,40972,0.5684931506849316,0.46368715083798884
A,ENS_w70_LGBM_w30_Cat,0.6644851928847768,217.55209901232388,14.749647419932582,9.06581391488274,3016370.4958261,83,68,96,40967,0.5496688741721855,0.46368715083798884
A,ENS_mean_LGBM_Cat,0.6640540462245805,217.83166002995623,14.75912124856884,9.093786777568479,3084840.7367942845,84,68,95,40967,0.5526315789473685,0.4692737430167598
A,LightGBM,0.6619080662943931,219.22314090755054,14.806185900074015,9.081172742871624,2973083.2698598565,85,69,94,40966,0.551948051948052,0.4748603351955307
A,CatBoost,0.6554538708858411,223.40812389127913,14.94684327512934,9.291497584794726,3419473.849194328,74,81,105,40954,0.4774193548387097,0.4134078212290503
A,GBR,0.6531520253053917,224.90067005320464,14.996688636269162,9.131779931541649,4057174.3837054837,84,72,95,40963,0.5384615384615384,0.4692737430167598
A,XGBoost,0.6405043281419718,233.10159891602316,15.267665142909808,9.806181825555331,3345638.7039088234,89,81,90,40954,0.5235294117647059,0.4972067039106145
