variant,model,R2,MSE,RMSE,MAE,RUL_Score_PHM08,tau15_TP,tau15_FP,tau15_FN,tau15_TN,tau15_precision,tau15_recall
B,STACK_Ridge_on_LightGBM+CatBoost+GBR,0.6708151409659423,213.4476795873306,14.60984871883794,8.753910238492487,3231090.15815805,70,50,109,40985,0.5833333333333334,0.39106145251396646
B,ENS_mean_LGBM_Cat,0.6693893333358631,214.3721915198397,14.641454556151166,8.713942527910572,3488313.5844207234,76,57,103,40978,0.5714285714285714,0.4245810055865922
B,CatBoost,0.6682753417472151,215.0945179365967,14.666100979353603,8.803662373447303,3556289.2173619526,81,67,98,40968,0.5472972972972973,0.45251396648044695
B,ENS_mean_LGBM_Cat_GBR,0.6680851975921793,215.21780984254448,14.670303672471967,8.727461407640199,3630158.0964143015,73,59,106,40976,0.553030303030303,0.40782122905027934
B,ENS_w70_LGBM_w30_Cat,0.6676998718802172,215.46765997035723,14.678816708793567,8.725845862101012,3540516.03529738,79,58,100,40977,0.5766423357664233,0.441340782122905
B,LightGBM,0.6628781174562787,218.59414730744078,14.784929736303814,8.795559911054676,3701459.3922038455,84,57,95,40978,0.5957446808510638,0.4692737430167598
B,XGBoost,0.6578356068369076,221.86377578961793,14.895092339076584,9.10331756749156,4141537.1124980855,78,75,101,40960,0.5098039215686274,0.43575418994413406
B,GBR,0.6548838108266003,223.77775813638817,14.959203125046072,8.961610883888197,4253117.619988217,71,67,108,40968,0.5144927536231884,0.39664804469273746
