variant,model,R2,MSE,RMSE,MAE,RUL_Score_PHM08,tau15_TP,tau15_FP,tau15_FN,tau15_TN,tau15_precision,tau15_recall
BASE,STACK_Ridge_on_LightGBM+CatBoost+GBR,0.6646388604890006,217.45245896920167,14.746269323771408,9.030377807782054,3132132.7399558886,81,58,98,40977,0.5827338129496403,0.45251396648044695
BASE,ENS_mean_LGBM_Cat_GBR,0.6643718467460207,217.6255941007027,14.752138628032977,9.026153620000986,3282908.290013005,82,66,97,40969,0.5540540540540541,0.4581005586592179
BASE,ENS_w70_LGBM_w30_Cat,0.6625505810679329,218.8065260975163,14.792110265189221,9.065702470075355,3044155.8888476677,83,70,96,40965,0.5424836601307189,0.46368715083798884
BASE,ENS_mean_LGBM_Cat,0.6625498348838329,218.8070099328456,14.792126619686758,9.0942844985968,3074345.495047989,83,66,96,40969,0.5570469798657718,0.46368715083798884
BASE,LightGBM,0.6590205536412997,221.09544110200775,14.869278432459584,9.083412267092614,3046175.215008802,86,69,93,40966,0.5548387096774193,0.48044692737430167
BASE,GBR,0.654435500685892,224.06844817465563,14.968916065455629,9.120797226378661,4096966.489810761,81,86,98,40949,0.48502994011976047,0.45251396648044695
BASE,CatBoost,0.6543086271170897,224.15071462196815,14.971663722578334,9.309041807819227,3268018.7475051703,82,69,97,40966,0.543046357615894,0.4581005586592179
BASE,XGBoost,0.642235588103299,231.97902777896644,15.230857749285377,9.746137338166385,3579112.5138256704,92,75,87,40960,0.5508982035928144,0.5139664804469274
